Pattern A,Pattern B,Similarity Score
Names and Identifiers for a Resource,Known Bid Amounts,0.2177098295059046
Names and Identifiers for a Resource,Set of Objects,0.1816596712726535
Names and Identifiers for a Resource,Pre-set Prices,0.22267980111369687
Names and Identifiers for a Resource,Purchase of Lot,0.22207384819340323
Names and Identifiers for a Resource,Lot Withdrawn,0.2922892877458635
Names and Identifiers for a Resource,Object Withdrawn from Lot,0.3354051069764061
Names and Identifiers for a Resource,Reserve Not Met,0.300257794424064
Names and Identifiers for a Resource,Bought by Owner,0.3215343078933189
Names and Identifiers for a Resource,"Winner Unable to Pay
",0.3000697117843027
Names and Identifiers for a Resource,Auction Catalog,0.2721657399805519
Names and Identifiers for a Resource,Moving an Object,0.28244428486804224
Names and Identifiers for a Resource,Taking Inventory,0.23843567221889947
Names and Identifiers for a Resource,Object Ownership and Existence,0.14096515818512065
Names and Identifiers for a Resource,Core Features,0.359865632660684
Names and Identifiers for a Resource,Collections of Objects,0.29925894480555604
Names and Identifiers for a Resource,Departmental Collections,0.2965885306880678
Names and Identifiers for a Resource,Other Uses,0.3931487320782627
Names and Identifiers for a Resource,Collection Specific Information,0.4147862784830553
Names and Identifiers for a Resource,Adding and Removing Resources,0.22610381695675183
Names and Identifiers for a Resource,Exhibition Concept,0.2067073898708346
Names and Identifiers for a Resource,Exhibition Activity,0.2711172431919354
Names and Identifiers for a Resource,Multiple Venues,0.21026788214269432
Names and Identifiers for a Resource,Objects,0.3531925849865367
Names and Identifiers for a Resource,Exhibition Provenance: Transfer of Custody,0.4174491853893635
Names and Identifiers for a Resource,Exhibition Provenance: Internal Moves,0.27907367661279076
Names and Identifiers for a Resource,Exhibition Specific Labels,0.31208288956192115
Names and Identifiers for a Resource,Depiction of the Object at the Exhibition,0.18149315903119773
Identifiers,Statements about a Resource,0.3155505654134689
Identifiers,Parts,0.28772128036378597
Identifiers,Membership,0.2452239785517753
Identifiers,Events and Activities,0.13577240271830948
Identifiers,Time Span Details,0.14927627534291232
Identifiers,Base Production Activity,0.27471229497920224
Identifiers,Techniques,0.32869948733169224
Identifiers,Classifications,0.2870737464086651
Identifiers,Multiple Artists,0.3318789215506623
Identifiers,Inspiration or Copies,0.3632185924551195
Identifiers,Reproduction from an Identifiable Source,0.3106277202107261
Identifiers,Attribution of a Group,0.2801465295474151
Identifiers,Uncertain or Changing Attributions,0.3025516597076641
Identifiers,Production by Removal,0.0
Identifiers,Destruction ,0.27187232298905384
Identifiers,Cause of Destruction,0.2722767663057258
Identifiers,Other Specific Activities,0.33231964264270697
Identifiers,Dimensions,0.3556017580025219
Identifiers,Dimension Statement,0.3704464392080264
Identifiers,Dimension Display Labels,0.3580630219396289
Identifiers,Measurements of Dimensions,0.3262207163258655
Identifiers,Colors,0.36667678192078473
Identifiers,Shapes,0.3266017096419207
Identifiers,Materials,0.35824764734699394
Identifiers,Materials Statement,0.3022841419283111
Identifiers,Environmental conditions,0.3503973504386188
Identifiers,Parts,0.3487041168865738
Identifiers,Sides of an Object,0.3939057934467117
Identifiers,Description,0.3218376595316761
Identifiers,Depiction,0.0
Identifiers,Subject,0.380165797291311
Identifiers,Style Classification,0.36580722500387947
Identifiers,Other Classifications,0.29561296851372143
Identifiers,Objects Carrying Textual Works,0.27485200233942864
Identifiers,"Single Object, Multiple Works",0.17284397878935676
Identifiers,"Single Object, Single Textual and Visual Work",0.39541104047369074
Identifiers,Related Objects,0.40029718557159705
Identifiers,Ownership,0.37414463592535646
Identifiers,Custody,0.3746607995231073
Identifiers,Location,0.38312582048290345
Identifiers,Credit / Attribution Statement,0.35478517208949195
Identifiers,Rights Statement,0.3541711043173042
Identifiers,RightsStatements.org Assertions,0.0
Identifiers,Digital Objects,0.170524615299041
Identifiers,Digital Images,0.3054641707944813
Identifiers,Digital Surrogates,0.3241447211435473
Identifiers,Home Page,0.3109182119851995
Identifiers,Other Pages,0.26946478458774253
Identifiers,IIIF Images,0.23391410736549836
Identifiers,IIIF Manifests,0.28268235345067766
Identifiers,Core Information,0.08674573277770299
Identifiers,Geospatial Location,0.10521242087768985
Identifiers,Geospatial Approximation,0.18563426438615924
Identifiers,"Buildings and ""Immovable"" Objects",0.2684687786478219
Identifiers,Types,0.4730776805658153
Identifiers,Names,0.45050559294556053
Identifiers,Parts of Names,0.0
Identifiers,Identity,0.12367770376941578
Identifiers,Equivalent Resources,0.2974593843096859
Identifiers,Addresses,0.0
Identifiers,Birth and Death / Formation and Dissolution,0.1785619349899283
Identifiers,Active Dates,0.2312091452563925
Identifiers,Biography,0.2687376617206575
Identifiers,Nationality,0.2708064535679201
Identifiers,Ethnicity,0.1983643787038124
Identifiers,Gender,0.2578936831557906
Identifiers,Digital Integration,0.2776347475659509
Identifiers,Organization Membership,0.24927932540187545
Identifiers,Provenance Event,0.24853361017537098
Identifiers,Classifications,0.315185301187255
Identifiers,Relative Times,0.3029012449221653
Identifiers,"Object Acquisition
",0.3030006016812086
Identifiers,"Multiple Owners
",0.3339985770793828
Identifiers,Agents,0.2487458146553043
Identifiers,Exchange of Objects,0.24750680206441064
Identifiers,Payments,0.0
Identifiers,"Payment for Services
",0.34447750305325575
Identifiers,Loans,0.2916437126052529
